#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
JBH,20130510,00:00:00.000,ENTER,14.040,936,0,13141.44,OB0 ,0,6045196035674913832,,B,,,,255,
JBH,20130510,00:00:00.000,ENTER,15.760,266,0,4192.16,OB0 ,0,,6045196035676564806,A,,,,,299
JBH,20130510,00:00:00.000,ENTER,15.800,600,0,9480,OB0 ,0,,6045196035676534403,A,,,,,144
JBH,20130510,00:00:00.000,ENTER,15.800,750,0,11850,OB0 ,0,,6045196035676400057,A,,,,,144
JBH,20130510,00:00:00.000,ENTER,15.700,2000,0,31400,OB0 ,0,6045196035676524972,,B,,,,144,
JBH,20130510,00:00:00.000,ENTER,15.180,5000,0,75900,OB0 ,0,6045196035675715953,,B,,,,157,
JBH,20130510,00:00:00.000,ENTER,15.200,2500,0,38000,OB0 ,0,6045196035675669634,,B,,,,157,
JBH,20130510,00:00:00.000,ENTER,16.160,314,0,5074.24,OB0 ,0,,6045196035676409343,A,,,,,110
JBH,20130510,00:00:00.000,ENTER,16.070,5566,0,89445.62,OB0 ,0,,6045196035676447848,A,,,,,110
JBH,20130510,00:00:00.000,ENTER,15.950,314,0,5008.3,OB0 ,0,,6045196035676490339,A,,,,,110
JBH,20130510,00:00:00.000,ENTER,15.890,4262,0,67723.18,OB0 ,0,,6045196035676540468,A,,,,,110
JBH,20130510,00:00:00.000,ENTER,13.100,3050,0,39955,OB0 ,0,6045196035674915408,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.070,3375,0,50861.25,OB0 ,0,6045196035676514650,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.080,3375,0,50895,OB0 ,0,6045196035676514543,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.090,3375,0,50928.75,OB0 ,0,6045196035676514525,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.100,3375,0,50962.5,OB0 ,0,6045196035676514526,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.110,3375,0,50996.25,OB0 ,0,6045196035676514524,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.120,3375,0,51030,OB0 ,0,6045196035676514523,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.130,3375,0,51063.75,OB0 ,0,6045196035676514419,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.130,3375,0,51063.75,OB0 ,0,6045196035676409342,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.140,3375,0,51097.5,OB0 ,0,6045196035676514370,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.140,3375,0,51097.5,OB0 ,0,6045196035676409320,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.150,3375,0,51131.25,OB0 ,0,6045196035676514371,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.150,3375,0,51131.25,OB0 ,0,6045196035676409314,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.170,3375,0,51198.75,OB0 ,0,6045196035676514368,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.170,3375,0,51198.75,OB0 ,0,6045196035676409303,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.180,3375,0,51232.5,OB0 ,0,6045196035676514199,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.180,3375,0,51232.5,OB0 ,0,6045196035676409302,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.190,3375,0,51266.25,OB0 ,0,6045196035676514170,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.190,3375,0,51266.25,OB0 ,0,6045196035676409274,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.200,3375,0,51300,OB0 ,0,6045196035676514171,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.210,3375,0,51333.75,OB0 ,0,6045196035676514172,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.210,3375,0,51333.75,OB0 ,0,6045196035676409235,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.220,3375,0,51367.5,OB0 ,0,6045196035676514174,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.220,3375,0,51367.5,OB0 ,0,6045196035676409237,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.230,3375,0,51401.25,OB0 ,0,6045196035676514021,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.230,3375,0,51401.25,OB0 ,0,6045196035676409236,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.240,3375,0,51435,OB0 ,0,6045196035676513970,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.240,3375,0,51435,OB0 ,0,6045196035676409139,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.250,3375,0,51468.75,OB0 ,0,6045196035676513964,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.250,3375,0,51468.75,OB0 ,0,6045196035676409111,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.260,3375,0,51502.5,OB0 ,0,6045196035676513965,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.260,3375,0,51502.5,OB0 ,0,6045196035676409083,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.270,3375,0,51536.25,OB0 ,0,6045196035676409084,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.280,3375,0,51570,OB0 ,0,6045196035676409082,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.290,3375,0,51603.75,OB0 ,0,6045196035676408940,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.300,3375,0,51637.5,OB0 ,0,6045196035676408928,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.310,3375,0,51671.25,OB0 ,0,6045196035676408919,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.320,3375,0,51705,OB0 ,0,6045196035676408933,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.330,3375,0,51738.75,OB0 ,0,6045196035676490267,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.340,3375,0,51772.5,OB0 ,0,6045196035676490269,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.350,3375,0,51806.25,OB0 ,0,6045196035676490286,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.360,3375,0,51840,OB0 ,0,6045196035676490268,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.370,3375,0,51873.75,OB0 ,0,6045196035676490266,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.390,3375,0,51941.25,OB0 ,0,6045196035676490124,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.400,3375,0,51975,OB0 ,0,6045196035676490123,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.410,3375,0,52008.75,OB0 ,0,6045196035676490127,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.410,6489,0,99995.49,OB0 ,0,6045196035676447875,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.420,3375,0,52042.5,OB0 ,0,6045196035676490126,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.430,3375,0,52076.25,OB0 ,0,6045196035676489945,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.440,3375,0,52110,OB0 ,0,6045196035676489948,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.450,3375,0,52143.75,OB0 ,0,6045196035676489946,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.460,3375,0,52177.5,OB0 ,0,6045196035676489947,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.470,3375,0,52211.25,OB0 ,0,6045196035676489961,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.480,3375,0,52245,OB0 ,0,6045196035676489798,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.490,3375,0,52278.75,OB0 ,0,6045196035676489794,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.500,3375,0,52312.5,OB0 ,0,6045196035676489797,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.510,3375,0,52346.25,OB0 ,0,6045196035676489795,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.520,3375,0,52380,OB0 ,0,6045196035676489799,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.660,9226,0,144479.16,OB0 ,0,6045196035676540457,,B,,,,110,
JBH,20130510,00:00:00.000,ENTER,15.700,8667,0,136071.9,OB0 ,0,6045196035676541943,,B,,,,110,
